Company,Product_Type,Production_Year,Product_Weight_kg,Greenhouse_Gas_Emissions(kg_CO2e),Water_Consumption(L),Energy_Consumption(kWh),Waste_Generation(kg),Sales_Revenue($),Renewable_Energy_Use(%),Recycled_Material_Use(%),Energy_Efficiency_Score,Strategy_Cost_USD,Expected_CO2_Reduction(kg),ROI_Months,Regulation_Risk,Consumer_Trend_Score,Opportunity_Notes,Polyester,Cotton,Acrylic,Recycled Polyester,Viscose,Nylon
Bershka,Shorts,2023,0.6,3.84,1629,4.38,0.048,30.13,44,0,72,3099,2.61,9,Low,71,Improving sustainability increases customer loyalty.,100,0,0,0,0,0
Stradivarius,Dress,2023,0.41,2.64,2103,5.88,0.035,39.82,58,35,51,4845,0.69,13,Medium,91,Improving sustainability increases customer loyalty.,0,0,0,35.3,14.4,50.3
Stradivarius,Hoodie,2023,0.47,4.7,1014,5.71,0.094,26.35,27,0,93,5219,1.9,10,Medium,77,Improving sustainability increases customer loyalty.,0,0,0,0,0,100
Massimo Dutti,Jacket,2023,0.66,1.91,2891,3.73,0.144,50.99,76,77,79,4587,2.44,12,Medium,70,Improving sustainability increases customer loyalty.,0,22.4,0,77.6,0,0
Oysho,Jacket,2023,0.17,0.51,2870,4.77,0.086,51.5,69,100,88,5449,1.35,18,Low,92,Improving sustainability increases customer loyalty.,0,0,0,100,0,0
Bershka,Jacket,2023,0.27,2.43,125,5.64,0.105,18.23,67,0,52,5056,1.94,18,Medium,77,Improving sustainability increases customer loyalty.,0,0,100,0,0,0
Zara,Jacket,2023,0.32,2.88,2367,2.8,0.104,24.9,61,0,53,2192,1.84,6,High,90,Improving sustainability increases customer loyalty.,0,0,100,0,0,0
Stradivarius,Hoodie,2023,0.54,3.79,195,3.65,0.143,58.79,20,0,62,3093,2.66,18,Medium,91,Improving sustainability increases customer loyalty.,41.9,0,0,0,19.3,38.8
Zara,Dress,2023,0.52,4.68,785,3.12,0.105,42.78,15,0,50,3640,2.39,13,High,74,Improving sustainability increases customer loyalty.,0,0,100,0,0,0
Massimo Dutti,Jacket,2023,0.19,1.71,470,3.71,0.136,52.46,49,0,61,5315,2.74,13,High,85,Improving sustainability increases customer loyalty.,0,0,100,0,0,0
Oysho,Sports Bra,2023,0.51,1.27,60,5.17,0.097,39.49,28,0,59,3915,0.48,8,Medium,81,Improving sustainability increases customer loyalty.,0,100,0,0,0,0
Massimo Dutti,Pants,2023,0.38,0.91,1070,5.19,0.113,16.41,24,0,77,1644,2.08,12,High,95,Improving sustainability increases customer loyalty.,0,0,0,0,100,0
Zara,Dress,2023,0.89,3.64,2248,3.46,0.054,28.46,6,0,91,3695,2.55,11,High,70,Improving sustainability increases customer loyalty.,41.1,41.5,0,0,17.4,0
Bershka,Top,2023,0.23,0.58,2196,6.01,0.147,17.49,31,0,82,2490,2.72,24,Medium,86,Improving sustainability increases customer loyalty.,0,100,0,0,0,0
Oysho,Sports Bra,2023,0.22,1.87,1865,3.1,0.125,33.64,19,12,79,5635,1.6,10,High,75,Improving sustainability increases customer loyalty.,0,0,67.7,12,0,20.3
Oysho,Sweater,2023,0.53,4.28,2208,3.19,0.056,37.89,62,27,63,3295,0.57,8,High,65,Improving sustainability increases customer loyalty.,0,0,0,27.4,0,72.6
Pull & Bear,T-Shirt,2023,0.58,5.29,514,3.75,0.064,76.84,29,0,93,5134,1.52,9,Medium,93,Improving sustainability increases customer loyalty.,0,0,87.8,0,0,12.2
Bershka,Dress,2023,0.6,3.84,420,5.45,0.056,12.56,44,0,52,4968,2.84,14,Medium,88,Improving sustainability increases customer loyalty.,100,0,0,0,0,0
Stradivarius,Sports Bra,2023,0.65,1.83,686,4.62,0.05,28.8,63,44,86,1293,2.25,15,Low,72,Improving sustainability increases customer loyalty.,3.6,0,0,44,52.5,0
Massimo Dutti,Hoodie,2023,0.62,4.95,2648,3.4,0.146,19.38,30,0,67,1430,1.65,6,Medium,74,Improving sustainability increases customer loyalty.,0,26.9,0,0,0,73.1
Bershka,Jacket,2023,0.32,2.35,1139,3.25,0.06,77.96,65,0,83,2634,2.86,16,Low,76,Improving sustainability increases customer loyalty.,50.8,0,0,0,11,38.2
Massimo Dutti,Pants,2023,0.15,0.37,721,5.18,0.097,10.56,14,15,91,1259,2.77,22,High,63,Improving sustainability increases customer loyalty.,0,6,0,15.1,79,0
Pull & Bear,Jacket,2023,0.8,7.58,2605,5.85,0.035,46.99,2,0,85,4708,2.33,23,Medium,61,Improving sustainability increases customer loyalty.,0,0,52.7,0,0,47.3
Stradivarius,Hoodie,2023,0.88,7.92,186,2.22,0.068,14.47,79,0,83,2125,1.61,24,Low,90,Improving sustainability increases customer loyalty.,0,0,100,0,0,0
Massimo Dutti,Sweater,2023,0.55,4.95,558,5.42,0.116,76.03,10,0,60,3156,1.22,9,Medium,69,Improving sustainability increases customer loyalty.,0,0,100,0,0,0
Oysho,Sports Bra,2023,0.82,6.31,845,2.37,0.116,61.29,67,0,65,1471,0.84,21,High,75,Improving sustainability increases customer loyalty.,43.5,2.6,53.9,0,0,0
Pull & Bear,Blouse,2023,0.44,2.32,1617,5.79,0.034,16.86,19,49,67,5006,0.41,17,Medium,69,Improving sustainability increases customer loyalty.,0,0,0,49.8,16.3,33.9
Oysho,Sweater,2023,0.54,1.3,202,6.63,0.091,53.43,58,0,94,1930,0.6,20,High,78,Improving sustainability increases customer loyalty.,0,1.7,0,0,98.3,0
Stradivarius,Hoodie,2023,0.21,1.89,1775,6.72,0.054,56.17,47,0,80,1896,0.49,6,High,67,Improving sustainability increases customer loyalty.,0,0,100,0,0,0
Bershka,Skirt,2023,0.21,0.52,2329,2.16,0.076,57.36,15,0,58,1488,2.68,23,High,70,Improving sustainability increases customer loyalty.,0,100,0,0,0,0
Massimo Dutti,Jeans,2023,0.57,4.09,1383,6.96,0.091,48.25,30,0,84,5026,1.72,19,Low,75,Improving sustainability increases customer loyalty.,70,0,30,0,0,0
Oysho,Hoodie,2023,0.86,6.74,2583,4.76,0.064,38.76,52,7,53,2616,1.89,10,High,64,Improving sustainability increases customer loyalty.,0,11.3,81.6,7.1,0,0
Oysho,Sports Bra,2023,0.53,2.62,2628,6.99,0.038,41.06,54,0,93,1331,0.53,21,Low,67,Improving sustainability increases customer loyalty.,5.3,0,0,0,64.2,30.6
Zara,Dress,2023,0.47,2.97,655,2.92,0.08,41.6,13,0,95,4343,1.4,14,Medium,74,Improving sustainability increases customer loyalty.,97.9,2.1,0,0,0,0
Bershka,Dress,2023,0.53,5.15,829,6.78,0.13,28.02,6,0,81,4864,2.78,10,Medium,94,Improving sustainability increases customer loyalty.,1.2,0,24.4,0,0,74.4
Bershka,Hoodie,2023,0.28,0.7,2816,3.51,0.146,52.75,20,0,62,5129,2.85,17,Low,63,Improving sustainability increases customer loyalty.,0,100,0,0,0,0
Stradivarius,Pants,2023,0.55,3.52,2032,4.24,0.118,34.91,35,0,61,5344,2.37,14,Medium,87,Improving sustainability increases customer loyalty.,100,0,0,0,0,0
Zara,Pants,2023,0.8,1.92,454,6.3,0.136,71.92,79,0,70,4908,0.45,9,Low,81,Improving sustainability increases customer loyalty.,0,0,0,0,100,0
Pull & Bear,Pants,2023,0.64,3,1265,3.25,0.089,10.1,56,0,92,4251,0.82,21,Low,75,Improving sustainability increases customer loyalty.,57.3,0,0,0,42.7,0
Oysho,T-Shirt,2023,0.65,4.16,839,5.32,0.129,34.29,2,0,92,5149,1.08,6,High,91,Improving sustainability increases customer loyalty.,100,0,0,0,0,0
Massimo Dutti,Jeans,2023,0.46,2.13,544,4.75,0.093,13.24,4,31,90,3421,0.64,21,High,74,Improving sustainability increases customer loyalty.,0,38.1,30.4,31.5,0,0
Zara,Pants,2023,0.4,3.6,82,4.52,0.04,41.5,56,0,89,5951,1.26,14,Medium,61,Improving sustainability increases customer loyalty.,0,0,99.9,0,0,0.1
Oysho,Jeans,2023,0.43,1.47,1521,5.26,0.04,18.99,71,90,91,4875,0.91,20,High,94,Improving sustainability increases customer loyalty.,0,3.3,0,90.4,0,6.3
Massimo Dutti,Blouse,2023,0.62,4.16,1876,5.25,0.092,64.85,25,0,67,2120,2.89,18,Low,69,Improving sustainability increases customer loyalty.,0,0,65.2,0,34.8,0
Oysho,Sweater,2023,0.3,2.84,1455,5.01,0.038,36.61,24,0,70,1008,2.33,18,High,86,Improving sustainability increases customer loyalty.,0,0,53.1,0,0,46.9
Massimo Dutti,Sports Bra,2023,0.3,0.9,310,4.27,0.121,72.49,37,100,94,5678,1.53,15,Medium,67,Improving sustainability increases customer loyalty.,0,0,0,100,0,0
Oysho,Sports Bra,2023,0.37,3.36,2774,2.71,0.048,30.98,65,0,74,4982,2.52,24,Medium,95,Improving sustainability increases customer loyalty.,0,0,92.8,0,0,7.2
Oysho,Dress,2023,0.45,1.44,2240,4.72,0.047,32.48,68,0,85,5324,2.67,16,Medium,70,Improving sustainability increases customer loyalty.,0,89.2,10.8,0,0,0
Oysho,Skirt,2023,0.65,4.84,340,3.68,0.103,9.61,39,0,93,2130,0.87,20,High,68,Improving sustainability increases customer loyalty.,9.6,20,70.3,0,0,0
Massimo Dutti,Hoodie,2023,0.43,2.92,1947,3.49,0.147,51.48,38,36,88,1932,0.85,14,Medium,69,Improving sustainability increases customer loyalty.,0,0,63.3,36.7,0,0
Oysho,Top,2023,0.4,2.76,114,2.41,0.121,44.58,44,0,89,1026,1.44,15,Low,88,Improving sustainability increases customer loyalty.,0,0,68,0,32,0
Pull & Bear,Skirt,2023,0.73,7.3,1975,5.17,0.037,10.61,60,0,83,3587,1.68,17,High,76,Improving sustainability increases customer loyalty.,0,0,0,0,0,100
Zara,Skirt,2023,0.5,2.47,1644,5.82,0.113,63.77,13,0,93,4785,2.08,20,High,61,Improving sustainability increases customer loyalty.,0,0,0,0,66.6,33.4
Bershka,Jeans,2023,0.29,2.88,1031,5.3,0.082,61.04,19,0,90,1841,2.95,8,Medium,86,Improving sustainability increases customer loyalty.,0,0,7.6,0,0,92.4
Zara,Hoodie,2023,0.58,4.57,660,3.47,0.114,31.02,33,2,90,2525,2.63,10,Low,90,Improving sustainability increases customer loyalty.,38.4,0,59.6,2,0,0
Massimo Dutti,Jeans,2023,0.82,3.22,1510,4.71,0.07,48.11,64,86,79,5792,0.69,10,Medium,64,Improving sustainability increases customer loyalty.,0,0,0,86.8,0,13.2
Bershka,Sweater,2023,0.7,2.88,1083,4.31,0.099,48.88,66,0,94,5361,2.43,19,Medium,84,Improving sustainability increases customer loyalty.,42.9,0,0,0,57.1,0
Oysho,Hoodie,2023,0.52,3.99,305,5.31,0.142,16.75,15,5,62,1519,1.28,19,Medium,79,Improving sustainability increases customer loyalty.,0,25.9,0,5.5,0,68.6
Massimo Dutti,Dress,2023,0.59,1.95,842,5.28,0.082,32.59,7,0,55,1088,1.89,17,Low,76,Improving sustainability increases customer loyalty.,22.8,0,0,0,77.2,0
Stradivarius,Jacket,2023,0.2,0.55,336,5.28,0.105,23.34,42,56,56,1176,0.7,14,Low,79,Improving sustainability increases customer loyalty.,0,0,0,56.3,43.7,0
Oysho,Skirt,2023,0.67,2.47,1156,2.93,0.146,59.38,45,0,95,5342,2.8,20,Medium,62,Improving sustainability increases customer loyalty.,0,22,0,0,61.4,16.6
Massimo Dutti,Sports Bra,2023,0.39,3.23,2966,4.84,0.038,28.43,53,11,70,2788,2.44,11,Low,68,Improving sustainability increases customer loyalty.,0,0.4,88.1,11.4,0,0
Stradivarius,Sports Bra,2023,0.72,7.2,2442,5.93,0.113,43.46,45,0,60,2514,0.98,6,Low,70,Improving sustainability increases customer loyalty.,0,0,0,0,0,100
Massimo Dutti,Hoodie,2023,0.81,5.49,583,4.5,0.113,64.24,19,0,95,1922,2.74,18,Low,85,Improving sustainability increases customer loyalty.,21.1,25.8,53.1,0,0,0
Pull & Bear,Hoodie,2023,0.57,3.65,878,5.15,0.122,14.81,41,0,79,2953,2.64,19,High,92,Improving sustainability increases customer loyalty.,100,0,0,0,0,0
Oysho,Hoodie,2023,0.68,6.12,389,4.13,0.141,55.52,79,0,59,1072,1.53,16,Low,91,Improving sustainability increases customer loyalty.,0,0,100,0,0,0
Zara,Jacket,2023,0.26,1.62,2834,6.02,0.052,63.24,43,53,65,5989,2.82,17,Low,90,Improving sustainability increases customer loyalty.,0,0,0,53.9,0,46.1
Stradivarius,Sports Bra,2023,0.89,7.24,1509,6.72,0.133,20.75,54,0,59,4322,2.58,19,Medium,72,Improving sustainability increases customer loyalty.,43.3,0,31.8,0,0,25
Massimo Dutti,Pants,2023,0.8,4.03,2275,6.49,0.113,18.86,1,0,90,5522,2.18,24,Medium,77,Improving sustainability increases customer loyalty.,0,0,39.9,0,60.1,0
Zara,Jeans,2023,0.45,1.35,284,3.87,0.088,22.58,17,100,79,3333,0.61,21,Medium,70,Improving sustainability increases customer loyalty.,0,0,0,100,0,0
Bershka,T-Shirt,2023,0.9,9,1449,3.28,0.106,49.54,40,0,84,4862,1.24,12,Low,75,Improving sustainability increases customer loyalty.,0,0,0,0,0,100
Zara,T-Shirt,2023,0.64,3.9,714,6.27,0.121,42.11,21,0,54,2231,1.31,13,Low,93,Improving sustainability increases customer loyalty.,2.9,50.6,0,0,0,46.4
Massimo Dutti,Top,2023,0.77,2.14,2440,6.53,0.084,34.07,9,56,52,1861,2.79,19,High,85,Improving sustainability increases customer loyalty.,0,44,0,56,0,0
Bershka,Skirt,2023,0.4,3.6,1409,5.85,0.073,22.82,1,0,63,3308,2.43,9,Medium,71,Improving sustainability increases customer loyalty.,0,0,100,0,0,0
Bershka,Blouse,2023,0.52,3.61,1321,5.43,0.092,69.18,30,0,83,1139,2.37,7,High,62,Improving sustainability increases customer loyalty.,78.9,0,21.1,0,0,0
Stradivarius,T-Shirt,2023,0.4,1.05,2902,4.79,0.077,34.42,49,26,93,1052,0.8,24,Medium,74,Improving sustainability increases customer loyalty.,0,58.6,0,26.5,15,0
Pull & Bear,Pants,2023,0.71,2.67,1500,4.6,0.075,48.02,8,73,69,3638,0.99,9,Low,74,Improving sustainability increases customer loyalty.,0,14.4,0,73.9,0,11.8
Bershka,Skirt,2023,0.21,2.01,722,4.78,0.09,17.59,4,0,68,4558,2.81,8,High,73,Improving sustainability increases customer loyalty.,0,0,41.7,0,0,58.3
Bershka,Shorts,2023,0.28,0.67,1164,3.72,0.112,11.32,68,0,88,2257,0.67,22,Medium,93,Improving sustainability increases customer loyalty.,0,0,0,0,100,0
Bershka,Dress,2023,0.27,0.65,2706,4.13,0.034,78.51,40,0,69,5652,0.77,16,High,66,Improving sustainability increases customer loyalty.,0,0,0,0,100,0
Bershka,Sports Bra,2023,0.28,1.71,2908,6.75,0.042,34.85,69,0,52,1661,0.43,18,Low,85,Improving sustainability increases customer loyalty.,60.5,22.8,0,0,0,16.7
